id,name_de
usda_321358,Hummus
usda_321360,Cherrytomaten (roh)
usda_321611,"Grüne Bohnen (Dose, abgetropft)"
usda_323121,"Frankfurter Würstchen (Rind, roh)"
usda_323294,"Mandeln (trocken geröstet, gesalzen)"
usda_323505,Grünkohl (roh)
usda_323604,"Vollei (gefroren, pasteurisiert)"
usda_323697,"Eiweiß (gefroren, pasteurisiert)"
usda_323793,Eiweißpulver (getrocknet)
usda_324317,"Zwiebelringe (paniert, tiefgekühlt)"
usda_324653,Gewürzgurken (Dill)
usda_325036,Parmesan (gerieben)
usda_325198,Schmelzkäse (American Cheese)
usda_325287,Grapefruitsaft (ungesüßt)
usda_325430,Pfirsiche (roh)
usda_325524,"Sonnenblumenkerne (geröstet, gesalzen)"
usda_326196,"Grünkohl (tiefgekühlt, gekocht)"
usda_326698,Senf (mittelscharf)
usda_327046,"Kiwi (grün, roh)"
usda_327357,Nektarinen (roh)
usda_328637,Cheddar-Käse
usda_328841,"Hüttenkäse (fettarm, 2%)"
usda_329370,Mozzarella (teilentrahmt)
usda_329490,Volleipulver
usda_329596,"Eigelb (gefroren, pasteurisiert)"
usda_329716,Eigelbpulver
usda_330137,"Griechischer Joghurt (0%, natur)"
usda_330415,"Griechischer Joghurt (Erdbeere, 0%)"
usda_330458,Kokosöl
usda_331897,"Hähnchenunterschenkel (gegart, ohne Knochen)"
usda_331960,"Hähnchenbrust (gegart, ohne Haut)"
usda_332282,"Pasta-Sauce (Tomate, fertig)"
usda_332397,Kochschinken (aufgeschnitten)
usda_332791,Oliven grün (gefüllt mit Paprika)
usda_333008,"Haferkekse (weich, mit Rosinen)"
usda_333281,"Tomaten (Dose, gewürfelt)"
usda_333374,Schellfisch (roh)
usda_333476,Seelachs (roh)
usda_334194,"Thunfisch (Dose, in Wasser, abgetropft)"
usda_334536,"Gebratener Reis (chinesisch, ohne Fleisch)"
usda_334628,Tamale (Schwein)
usda_334720,Pupusas (mit Bohnen)
usda_746758,"Rinderfilet (gebraten, mager)"
usda_746759,"Roastbeef-Steak (roh, mager)"
usda_746760,"Rinderrolle (roh, mager)"
usda_746761,"Oberschale vom Rind (roh, mager)"
usda_746762,"Porterhouse-Steak (roh, mager)"
