id,name_vi
usda_321358,Hummus (đậu gà nghiền)
usda_321360,Cà chua bi tươi
usda_321611,Đậu que xanh đóng hộp (đã ráo nước)
usda_323121,Xúc xích bò (chưa nấu)
usda_323294,Hạnh nhân rang khô có muối
usda_323505,Cải xoăn kale tươi
usda_323604,Trứng nguyên quả đông lạnh tiệt trùng
usda_323697,Lòng trắng trứng đông lạnh tiệt trùng
usda_323793,Lòng trắng trứng sấy khô (bột)
usda_324317,Hành tây tẩm bột chiên đông lạnh (nướng lò)
usda_324653,Dưa leo muối chua (vị thì là)
usda_325036,Phô mai Parmesan bào
usda_325198,Phô mai Mỹ tiệt trùng (bổ sung vitamin D)
usda_325287,Nước ép bưởi trắng đóng hộp (không đường)
usda_325430,Đào vàng tươi
usda_325524,Hạt hướng dương rang khô có muối
usda_326196,Cải xoăn kale đông lạnh (đã luộc không muối)
usda_326698,Mù tạt vàng (loại pha sẵn)
usda_327046,Kiwi xanh tươi
usda_327357,Xuân đào tươi
usda_328637,Phô mai Cheddar
usda_328841,Phô mai Cottage ít béo (2%)
usda_329370,Phô mai Mozzarella (ít béo ít ẩm)
usda_329490,Trứng nguyên quả sấy khô (bột)
usda_329596,Lòng đỏ trứng đông lạnh tiệt trùng
usda_329716,Lòng đỏ trứng sấy khô (bột)
usda_330137,Sữa chua Hy Lạp không đường không béo
usda_330415,Sữa chua Hy Lạp vị dâu không béo
usda_330458,Dầu dừa
usda_331897,Đùi gà (thịt không da) hầm chín
usda_331960,Ức gà không da không xương hầm chín
usda_332282,Sốt mì Ý marinara (dùng ngay)
usda_332397,Giăm bông lát đóng gói (96% không béo)
usda_332791,Ô liu xanh nhồi ớt đỏ
usda_333008,Bánh quy yến mạch mềm nho khô
usda_333281,Cà chua chín cắt hạt lựu đóng hộp
usda_333374,Cá haddock tươi
usda_333476,Cá pollock tươi
usda_334194,Cá ngừ đóng hộp trong nước (đã ráo nước)
usda_334536,Cơm chiên kiểu Trung Hoa (không thịt) - nhà hàng
usda_334628,Tamale thịt heo (kiểu Mỹ Latinh) - nhà hàng
usda_334720,Pupusas nhân đậu (kiểu Mỹ Latinh) - nhà hàng
usda_746758,Thịt bò thăn nướng (nạc đã lóc mỡ) chín
usda_746759,Bò thăn ngoại (top loin) tươi ít mỡ
usda_746760,Bò đùi (eye of round) tươi nạc
usda_746761,Bò đùi trên (top round) tươi nạc
usda_746762,Bò thăn porterhouse tươi nạc
usda_746763,Bò T-bone nướng (nạc)
usda_746764,Cà rốt đông lạnh (chưa chế biến)
usda_746765,Phô mai trắng khô (queso seco)
usda_746766,Phô mai Ricotta nguyên kem
usda_746767,Phô mai Thụy Sĩ
usda_746768,Sung sấy khô
usda_746769,Xà lách romaine tươi
usda_746770,Dưa lưới cantaloupe tươi
usda_746771,Cam navel tươi
usda_746772,Sữa ít béo 1% (bổ sung vitamin A D)
usda_746773,Lê bartlett tươi
usda_746774,Thịt heo chua ngọt kiểu Trung Hoa - nhà hàng
usda_746775,Muối ăn i-ốt
usda_746776,Sữa tách béo (bổ sung vitamin A D)
usda_746777,Sốt salsa (dùng ngay)
